屏开 晴日 春风 绿苔	崖悬百尺古|面削一屏开|晴日流丹草|春风长绿苔
平原 痕 回车 迹	巷识回车迹|桥留斩袂痕|此中多侠鬼|且莫绣平原
寒蛩 秋夜 凄凄 月明	秋夜寒蛩语|凄凄孤月明|空床自难寐|不但百愁生
离离 知 荡 溪光	烟莽忽离离|溪光荡不持|秋从何处到|早已白苹知
竹树 丹丘 鬓欲 乘槎	丹丘神已化|竹树动寒飔|自笑乘槎客|相看鬓欲丝
恩深 辞 春风 怨	宠极辞同辇|恩深弃后宫|自题秋扇后|不敢怨春风
羯鼓 寒色 春回 君恩	君恩破寒色|天笑觉春回|先暖延和柳|曾无羯鼓催
理 孙子 支颐 卧	张子卧石榻|夏子理泉窦|孙子独不言|支颐数烟岫
晴 春阴 乐岁 饱	乐岁何尝饱|春阴忽又晴|一之其可再|四者每难并
石室 浮云 春雨 风雷	石室空无主|浮云自去来|人间春雨足|归意带风雷
城下 雪 长城 饮马	饮马长城窟|城下多腥血|战渴口沫乾|人衔一片雪
天地 昏晓 寄声 明月	天地几昏晓|浮生半是眠|寄声世上客|明月为谁圆
明月 新秋 洞庭 猿啼	碧嶂猿啼夜|新秋雨霁天|谁人爱明月|露坐洞庭船
列 空 人 陪臣	向令从七国|是自列陪臣|太尉空称赏|非知剧孟人
青山 溪山 芒鞋 人说	人说溪山好|无人问水涯|青山应笑客|不是少芒鞋
寂寥 孤灯 丝桐 春夜	寂寥春夜间|几阁孤灯照|邈尔形役忘|丝桐正清妙
青云 盖棺 深 黄屋	汇征生不竞|艮止梦尤安|黄屋深天宠|青云尽盖棺
明月 中天 山色 芙蓉	水如青铜镜|山色绿芙蓉|中天明月上|此处好相逢
酒船 陈迹 山阴 风波	山阴已陈迹|此乐终如何|酒船深不碍|去住少风波
树 花满 高下 俗情	高下不相及|非今自古来|十洲花满树|岂用俗情咍
倦 北门 夜夜 停	讲劝停西学|番休寓北门|隆儒心不倦|夜夜赐冰盆
人谁 父母 掩卷 宦游	坟墓在万里|宦游今五年|人谁无父母|掩卷一潜然
解语 难道 东风 侬	比妾解语花|忍笑问东风|即令花解语|难道得如侬
断桥 村 流水 家住	占香名梵苑|住托净心根|家住鱼千里|断桥流水村
恋 宿 寻幽 高情	无心固无恋|犹爱宿危檐|况复寻幽客|高情岂易厌
昔贤 古道 知音 谁谓	昔贤以文名|我自愧作者|古道不可复|谁谓知音寡
流行 佳 醉 耻	泛觞有何心|罚爵不为耻|流行固自佳|坎止何妨醉
合 岁晚 登楼 愁云	到官今十日|才得一朝闲|岁晚愁云合|登楼不见山
疏 记 书 衰迟	尽道三巴远|那无一纸书|衰迟自难记|不是故人疏
南海 水月 居士 还留	南海现水月|水月本无色|妙相结世因|还留居士室
归人 红霞 西风 繁华	秋岸繁华景|红霞万树春|西风无限意|吹尽送归人
面面 松 青山 字	青山面面同|浑如张素纸|欲蘸万丈松|尽书太平字
挂 中宵 道人 明月	道人见此山|指作太极图|中宵挂明月|请看头上无
过 远游 人 池鱼	已兆池鱼祸|尚多风鹢过|寄与远游人|莫待赆行货
天地 细认 地天 泽	天地有定位|地天阳泰三|更于通气处|细认泽山咸
老 日 安 情思	不谓老已至|情思日衰落|寡谐性所安|庶以存吾朴
惨淡 终 哀 佳士	时危挹佳士|惨淡随回鹘|佯狂真可哀|死泪终映睫
霜威 雁阵 紫塞 西风	紫塞霜威重|西风雁阵高|何当生羽翮|相逐过江皋
竹 疏雨 莲 凉风	凉风千个竹|疏雨万枝莲|自是清无寐|非关醉不眠
春色 芳菲 昨夜 霏霏	昨夜雪霏霏|今朝风乍微|桃花间菜花|春色竞芳菲
山气 瑶草 山花 芳馨	山气秋更清|山花秋亦好|芳馨袭人衣|俯首拾瑶草
作奴 卤莽 役 墨	我以墨为戏|翻因墨作奴|当年若卤莽|何处役潜夫
衣裳 锦 惭愧 娘	不作锦衣裳|裁为十指仓|千金包汗脚|惭愧络丝娘
口 黄山 溪 桃花	君在黄山口|桃花十里长|不知溪上水|流得几峰香
头白 昨夜 行客 江声	江声无古今|送尽远行客|昨夜上滩人|一夕成头白
清香 回风 力 满面	全红开似镜|半绿卷如杯|谁为回风力|清香满面来
重阳 插 开日 晚菊	庭前有晚菊|青蕊未堪插|开日即重阳|归来酒同呷
开帘 鸟声 暖气 识	暖气逼房楹|开帘多鸟声|竹春思笋嫩|地日识泥晴
带 白练 绣衣 绕树	一双白练带|绕树效于飞|宜尔闺房喜|图形上绣衣
柳色 山城 春水 南园	南园柳色动|野塘春水生|屡游烦将吏|独此守山城
穿林 空山 钟磬 招提	雾霭湿空山|招提路未分|穿林人不见|钟磬却相闻
寄语 子 东郭 天人	我来我有期|我期天不知|寄语东郭子|可悟天人机
情 事 内外 出门	悌以事其兄|温恭尽乃情|出门惟敬长|内外一于诚
雪中 渊明 黄菊 孜孜	偶陪天上人|来访雪中竹|却笑陶渊明|孜孜爱黄菊
秋鸿 寄声 分袂 逢人	吾子去何之|临歧忍分袂|逢人好寄声|莫待秋鸿至
闻君 山城 双旌 日将	使星入部中|汝水闻君度|何由送双旌|山城日将暮
桥西 日落 暗香 南浦	南浦随花去|回舟路已迷|暗香无觅处|日落画桥西
中人 箕踞 形骸 挥麈	箕踞忘形骸|挥麈秋名理|孰是意中人|相携二三子
烟雨 堂 携家 南山	今日如山堂|携家如逆旅|为谁十日留|南山看烟雨
衰 催诗 雨 办	君能多益办|我鼓再而衰|安得催诗雨|心摇毕月离
伴 溪山 北枝 南枝	野鸭随家鸭|南枝似北枝|溪山为客伴|触景便成诗
世 画檐 经纬 天机	经纬出天机|画檐斜挂箅|可惜巧于蚕|无补人间世
月色 白云 未眠 乘月	月色凉于水|高游人未眠|搅衣欲乘月|白云遥在天
白日 垂钓 清风 云水	与子共垂钓|白日照孤舫|春来云水生|清风动兰桨
梅花 江口 菊花 笑我	菊花笑我前|梅花撩我后|问花花不言|驻楫增江口
霜台 新诗 灯明 知音	雨滴霜台静|灯明宪府深|新诗吟谩好|谁复是知音
久 破甑 短衣 麦	破甑久生尘|短衣不掩骭|还渠一斛麦|所拾已杂半
愁里 愁眉 醉中 惆怅	百年愁里过|万感醉中来|惆怅城西别|愁眉两不开
新凉 灯火 窗下 功名	灯火迫新凉|志士功名重|十年窗下愁|会见金莲宠
凄清 山楼 落叶 急雨	山楼欲二更|急雨忽凄清|起视幽庭里|疏桐落叶声
夕阳 听 人 石	峡急岂有心|临桥石相激|蓦惊桥上听|夕阳人独立
新霜 孤影 淡 叶叶	屿鸟鸣孤影|汀苹淡素香|晓来江上树|叶叶是新霜
莲花 清晓 采莲 带露	清晓去采莲|莲花带露鲜|溪长须急桨|不是趁前船
凤吹 君王 宫殿 秋草	宫殿生秋草|君王恩幸疏|那堪闻凤吹|门外度金舆
谁说 寒江 岁晚 天机	天机常自契|妙趣向谁说|岁晚无人来|独钓寒江月
难 道途 据鞍 还	岁馀不乘马|今朝还据鞍|眼昏身力弱|心怯道途难
朝寒 芳菲 露 逐	春早花方绽|朝寒露未晞|可怜蜂与蝶|已去逐芳菲
窗外 别恨 夜雨 长门	长门秋夜雨|窗外滴寒声|悔不先辞辇|应无别恨生
青天 山 下泉 踏破	踏破山前月|凿开山下泉|大千沙界里|随地见青天
秋影 孤峰 云开 鸟飞	霜翮排云开|直下孤峰顶|四山无鸟飞|超然见秋影
著 说 黑白 未分	黑白未分时|几人知此著|一著只这是|为子说崖略
波声 烟柳 孤影 青山	烟柳拂波声|霜衣泛日明|青山对孤影|宁倦五湖情
舟行 苍茫 柔橹 雾	江日晚未生|苍茫十里雾|但闻柔橹声|不见舟行处
君看 片石 书法 丛竹	于画见书法|萧然无滞情|君看片石畔|丛竹忽生生
古色 磴道 崎岖 顽石	蛟涎渍顽石|磴道何崎岖|深潭湛古色|兴云只须臾
朝阳 楚山 岁晚 竹	兄诗楚山竹|岁晚色愈绿|譬彼朝阳桐|当令凤栖宿
春阳 啼鸟 搔头 春风	春阳未出海|春风已到楼|忽闻啼鸟唤|忙整玉搔头
陈 出 还山 埃尘	面帝陈三语|还山又几春|萧然无世累|卓尔出埃尘
初起 渔舟 娟娟 宿草	远林烟羃羃|宿草露娟娟|沙渚鹭初起|渔舟人未眠
取醉 汉阳 鹧鸪 月中	我似鹧鸪鸟|南迁懒北飞|时寻汉阳令|取醉月中归
门掩 仙槎 欲问 青嶂	舟移青嶂夕|门掩碧萝春|欲问仙槎客|南来第一津
南枝 岁寒 北枝 霜雪	南枝能作花|岂若北枝好|霜雪平生心|岁寒聊自保
云 盈亏 覆虚 溢满	溢满而覆虚|盈亏俱有病|万事得于中|乌乎云不正
响 司马 人说 江州	隔船弦索响|人说到江州|司马当年泪|犹分九派流
白云 清风 南望 行人	北临白云涧|南望清风阁|出树见行人|隔溪有鱼跃
冬青 黄雀 白虹 衔恩	白虹犹饮恨|黄雀尚衔恩|亦有冬青树|何繇种御园
终夕 丹心 开落 易	华开在今朝|华落不终夕|开落如君恩|丹心不可易
圣人 昼夜 南华 东坡	圣人称水哉|昼夜流不息|东坡如万斛|南华只五石
辍 贤声 感恩 远	九天趣上寿|百粤辍维藩|莫怪贤声远|殊方正感恩
翠微 日西 羽人 烟萝	灵洞古坛基|烟萝接翠微|日西春又晚|不见羽人归
踟蹰 车马 回首 惜别	惜别在今朝|车马去遥遥|一行一回首|踟蹰过板桥
丝 明镜 多惭 霜雪	霜雪欺玄首|秋来见几丝|多惭明镜照|正是始衰时
日日 盼 思君 征鞍	自君之出矣|日日盼征鞍|思君如风烛|有泪不曾乾
紫芝 离 京师 进士	进士能举母|偏亲可忍离|紫芝亦良苦|负母入京师
号 名真 智 倒	不了号无明|了知名真智|如人因地倒|而起亦因地
果谁 贤 谈经 著论	著论贬临川|谈经抑老泉|权书并字说|究竟果谁贤
歧路 云深 烟霄 合	两涧飞来处|云深合一桥|更无歧路别|从此入烟霄
露冕 好将 潇湘 南浦	南浦不可望|潇湘何处秋|好将明主意|露冕入巴州
风起 新妇 水 背	新妇背潭立|潭深不肯看|还嫌潭内水|风起亦生澜
石 湖波 潇湘 沧浪	湖波激苇滩|其下石齿齿|何异潇湘秋|和歌沧浪子
战尘 闻说 避地 景	闻说均州景|而今涴战尘|应随黑杀帝|避地肯来闽
沧江 乱石 老屋 高树	高树俯沧江|老屋隐乱石|水深群鱼集|一网千尺碧
溪流 濯缨 飞瀑 山雨	山雨忽开霁|溪流绕茆屋|时有濯缨人|云端看飞瀑
云山 高峰 友 伴侣	每约云山友|高峰只独登|莫愁无伴侣|犹有一枝藤
园 柴桑 谁敢 逃暑	耻封秦爵五|逃辱若逃暑|孤立柴桑园|出群谁敢伍
铜鞮 城中 娇红 碧鸡	蕙草娇红萼|时光舞碧鸡|城中美年少|相见白铜鞮
干霄 偃盖 托根 承露	托根上干霄|偃盖久承露|不念植者劳|但知匠者顾
唐家 清虚 泉声 山色	不污唐家乱|萧然表圣居|泉声舆山色|相得共清虚
青青 岁寒 未成 竹	擢擢当轩竹|青青重岁寒|心贞徒见赏|箨小未成竿
称 法 新年 参	溥博参洪造|希夷法自然|鸿名称盛礼|玉册趁新年
策勋 珍重 力 争席	言发矢无乡|机深舍争席|圣处倘策勋|珍重相与力
归迟 风色 闺中 晨兴	晨兴风色恶|日晏汲归迟|宁与闺中诀|莫令堂上饥
铁骑 东风 消息 残花	铁骑锁东风|残花野兴浓|玉梅犹在此|消息自天通
祀典 秩 严 礼文	中尊严祀典|鬯未祼而实|将祼而实彝|礼文知有秩
风翻 夜半 白鹭 花影	露垂兰叶光|风翻藕花影|滩前白鹭睡|夜半莫摇艇
新诗 对客 欲雨 浊酒	欲雨犹未雨|登临去复疑|新诗愁对客|浊酒须应时
青云 天风 仙人 落日	石壁立万丈|仙人青云端|不见来笙鹤|落日天风寒
染衣 隔浦 湘妃 粉黛	江白郎如练|江青好染衣|不须施粉黛|隔浦见湘妃
香篝 寒 雪色 姑射	姑射有处子|雪色而内视|肌粟寒不生|香篝熏素被
捐躯 激烈 未足 汉	激烈苟相感|捐躯未足论|从来有心汉|死不为殊恩
父 承颜 毒 母	直以母事妾|祗云父所安|可怜遭楚毒|加意更承颜
群芳 岁晚 空林 野	岁晚群芳尽|空林野啄稀|安能学鹯雀|直作傍人飞
怀抱 久别 鸣琴 他乡	久别侵怀抱|他乡变容色|月下调鸣琴|相思此何极
疏 高僧 尘劳 未灭	古来名未灭|人好水还清|一读高僧疏|尘劳悟此生
荒郊 弹指 独步 幽	独步荒郊暮|沉思远墅幽|平生多少事|弹指一时休
烟霏 江云 西望 蚕丛	西望蚕丛路|烟霏昼不分|帆归句亶国|惟认锦江云
怀抱 夜夜 明月 江南	明月在江南|夜夜看逾好|今夜照两人|各自伤怀抱
双鹤 寒鸦 松柏 日色	松柏枯欲拆|日色澹无辉|双鹤高翔去|寒鸦作阵飞
花 纤秾 姿 态	向背有深态|纤秾无定姿|最怜花脱后|全似蕊包时
溪翁 青蛇 沙 瓜	散走青蛇蔓|阴宜野鸭沙|溪翁三百岁|几食并头瓜
朦胧 知音 明月 竹	亭尤逢夜竹|不识自知音|朦胧望明月|终得拂青尘
迟迟 孤吟 清秋 梧桐	凉雨清秋夜|梧桐月上时|孤吟谁是伴|相忆思迟迟
合浦 清绝 芳洲 隐	芳洲编地志|老蚌隐澄湾|轩槛今清绝|全胜合浦还
种 螟蛉 萌芽 汉家	费亭侯在日|乱已有萌芽|养得螟蛉种|犹能覆汉家
澹荡 夜凉 阶除 疏雨	夜凉起南轩|梧风时澹荡|疏雨滴阶除|复溅池荷上
萦回 修竹 独 茂林	茂林修竹下|一水独萦回|时过赤栏去|风从苹末来
江水 草阁 晴烟 柴门	草阁散晴烟|柴门竹树边|门前有江水|常过打鱼船
客醉 斗 家 霞	花为万树霞|客醉五侯家|相倾三百斗|今夕乐无涯
春妍 霜寒 摇落 芬芳	众卉竞春妍|芬芳无彼此|霜寒摇落时|独秀何如尔
对酒 清凉 留客 题诗	秀色凭开帙|清凉荫弈棋|名贤须对酒|留客共题诗
萧条 沧海 崔嵬 扶桑	崔嵬扶桑日|阔会沧海潮|倾都看黄屋|此意竟萧条
静观 江头 闭门 波	闭门静观心|踵息閟天和|从渠江头人|尺水一丈波
残灯 客散 柴门 酒醒	结曲花源路|柴门复几层|酒醒游客散|松杪出残灯
风送 蝉声 斜阳 泠泠	爱此磐石坐|泠泠疏竹根|风送蝉声过|斜阳半在门
人意 真成 青黄 香气	小摘乱青黄|开尝馥香气|持比千户封|真成败人意
青 苍苔 琅玕 露	文石间苍苔|相引入深坞|莫撼青琅玕|无时露如雨
传神 胸中 渭川 诗人	传神疑有月|著色淡无烟|此是诗人笔|胸中有渭川
远近 洲 秋色 出门	出门望漳洲|远近一秋色|但恨少相见|新来发多白
月照 精神 杜陵 孤根	洗发玉精神|孤根寒月照|除却杜陵诗|几人曾索笑
日欲 山行 篮舆 黄鹂	一路篮舆稳|山行日欲西|藤花开未尽|随处有黄鹂
唤起 神 甘霖 望	酌彼洪泽水|吾知非盗泉|举世望甘霖|唤起神蛰渊
中 秋风 锦衣 乘槎	万里乘槎来|锦衣惊昼炫|相逢秋风中|忽发一笑粲
季子 冷 社稷 国风	季子让社稷|又能听国风|宁知千载后|苹藻冷祠宫
苍苍 天长 林壑 寿域	林壑树苍苍|金炉霭篆香|问渠何所祝|寿域共天长
怕 药 腥 气息	忽伤粪如水|赤黄气息腥|饶医能用药|口色怕微青
天下 宫中 翠 燕喜	剪玉菰筒翠|盘金彩缕长|宫中多燕喜|天下正明昌
隔岸 高楼 溪山 赋诗	溪山隔岸好|风雨过桥危|何似高楼上|停云且赋诗
青灯 寒心 窗外 雪花	素壁青灯暗|红炉夜火深|雪花窗外白|一片岁寒心
寒心 岁 春意 谁识	春意花先觉|冰威力自禁|漫夸三昧手|谁识岁寒心
毛羽 谁 回头 晴川	顾影矜毛羽|晴川偶泳游|不知谁打鸭|惊去不回头
犬吠 烟树 春日 孤村	春日入郊墟|孤村隐烟树|犬吠买茶人|路迷争渡去
睡 官居 图画 日短	日短循除庑|溪寒出臼科|官居图画里|小鸭睡枯荷
垂垂 翠苔 实 拂	灿灿悬珠实|垂垂拂翠苔|莺欺人不在|含去又飞来
浮云 飞盖 城中 岩谷	城中望衡山|浮云作飞盖|朅来岩谷游|却在浮云外
人迹 逶迤 月明 长林	几曲转逶迤|月明人迹稀|长林秋露落|一犬吠山扉
歌管 绮罗 山眉 小春	绮罗香十里|歌管占千人|别有松窗寂|山眉放小春
敛 白云 忍 答	岩芳敛空华|谷响答虚牝|坐看白云生|会得无生忍
吾 泉脉 沙痕 金	泉脉应通海|沙痕漾细金|成仙吾未必|一酌洗烦心
见人 问君 独行 扁舟	生怕柯亭路|扁舟况独行|见人防泪下|不敢问君名
春梦 离别 歇 秋风	离别向漳台|秋风恨莫裁|暂因春梦歇|何苦寄书来
老子 教 云中 陪	月入云中去|呼他不出来|明宵教老子|何面更相陪
履冰 决拾 放去 毫厘	履度如履冰|犹恐有不及|毫厘傥不念|放去如决拾
天地 恢恢 去 归	有物弥天地|至密至恢恢|放非由近去|卷不远方归
花开 空山 席地 流水	空山寂无声|花开流水清|席地无限兴|煮茗有馀情
续 木落 诵 空言	木落天陨霜|鹓雏恨独翔|空言诵参晰|何计续遗光
藏 集 丝纶 就	顷刻丝纶就|其中藏杀机|吞啖类杞桧|何事集吾扉
蒲团 纸帐 梅枝 地炉	地炉宿松火|纸帐横梅枝|春虫扑蔌蔌|惟有蒲团知
晓色 江风 露重 芭蕉	晓色殊未分|江风飘然起|开窗看芭蕉|露重叶如洗
称 古人 琼瑶 草木	古人重一物|可托千金交|虽云草木微|比德称琼瑶
清苦 古 学 写	仙华学杜诗|其词拙而古|如我写兰竹|无媚有清苦
洞箫 天风 夜半 神游	横石架广门|天风自来去|夜半闻洞箫|知是神游处
摧颓 独树 聪明 回风	大儿聪明到|青岁已摧颓|回风吹独树|吾宁舍一哀
汲水 达 龙 山中	山中久不雨|汲水欲何从|一夜井泉达|灵鳗恐是龙
短墙 添 芳 愧	学有卢前愧|居邻孟氏芳|此夕添嘉话|双尊过短墙
春去 听莺 楼 折柳	折柳一相别|听莺几处愁|舍情送春去|犹上望春楼
枝叶 节 思君 年年	自君之出矣|思君似绿筠|年年枝叶瘁|只有节如新
山僧 仄径 宫槐 绿苔	仄径荫宫槐|幽阴多绿苔|应门但迎埽|畏有山僧来
欲寻 古木 云起 隔溪	云起野桥西|层峰翠隔溪|欲寻清閟阁|古木压檐低
袅袅 未央 城头 明月	羌笛怨清商|城头夜未央|袅袅女萝阴|摆落明月光
南湖 望眼 北风 玉山	北风三日雪|南湖一尺冰|晚云遮望眼|不见玉山城
垂杨 桃叶 兴亡 春水	春水连桃叶|垂杨满石城|兴亡无限恨|啼杀六朝莺
妙 观物 皇皇 玉奴	醉妃索南内|玉奴毙东昏|所以观物心|皇皇妙无门
江 长江 明月 天	长江何处水|明月几州天|月与江无约|相逢是偶然
石 湖中 国破 犬马	役民如犬马|国破作降俘|往往湖中石|宣和艮岳无
远 琵琶 深 甘心	鸡絮交欢远|琵琶寄恨深|早知胡地冷|永巷亦甘心
变 迁 陵谷 市朝	已报行营入|犹夸僣垒坚|何曾陵谷变|但见市朝迁
云 夕阳 秋光 贪看	山合云初尽|溪阴下夕阳|贪看无限好|柳底坐秋光
真期 我言 言久 指归	不闻尔言久|因觉我言非|欲得尔之善|真期尔指归
思归 夕阳 芳菲 去年	老去厌芳菲|思归未得归|夕阳溪上树|花作去年飞
北风 芦花 横江 日夕	日夕北风起|停桡未有涯|横江欣得伴|和月宿芦花
贤侯 清源 天南 朝廷	闽岭天南表|清源第一州|朝廷推重镇|师帅得贤侯
归梦 离情 逢秋 江风	夜泊寒沙际|江风起旧愁|离情惟怕晚|归梦又逢秋
鸟声 青萝 高枕 白石	今宵高枕处|白石含青萝|人喧虽稍息|鸟声其奈何
冬青 日日 绿云 莺声	一个冬青树|莺声日日来|屋西偏娅姹|应是绿云堆
流水 流年 花落 苍烟	一涧入苍烟|千花绕涧边|花开与花落|流水送流年
问年 恋阙 首 穷经	灰如恋阙心|雪似穷经首|问年今几何|看饮屠酥酒
黄花 浊醪 篱畔 赊	篱畔醉黄花|巾披一幅纱|浊醪还自酿|何必向邻赊
年年 长日 儿 分外	化国舒长日|林隈分外知|年年庭荫匝|数遍鹊寻儿
林居 人 青山 外	万叠青山外|林居𫖯涧滨|翛然四老者|知是茹芝人
商人 收 馀事 休	确确无馀事|钱财总被收|商人都不管|货赂几时休
腊雪 朝晖 香径 管弦	腊雪馀香径|朝晖上绮甍|翠生兰蕙色|和入管弦声
秋风 多情 离人 明月	秋风吹客帆|江上遥相送|明月更多情|来照离人梦
朝朝 细看 暑 禁寒	四季花长发|朝朝得细看|绛英能受暑|绿刺更禁寒
力 泪雨 书画 世缘	处处君书画|难堪泪雨沱|如何遵养力|不似世缘多
笥 余 多 晒	一字少有余|五车多不足|七日暴君笥|何如晒君腹
行乐 青春 杖藜 东西	绿野添花径|青春引杖藜|家人行乐处|双劝玉东西
清风 问俗 落日 山西	清风习池上|落日岘山西|使君来问俗|听唱白铜鞮
芙蓉 过雨 轻烟 西窗	过雨濯芙蓉|轻烟散桃萼|曲涧吹古香|流入西窗角
月色 舟行 天涯 徘徊	舟行未泊岸|月色已徘徊|远浦渔灯现|天涯暮色催
秋怀 诗老 闲居 芙蓉	诗老追唐句|闲居筑简斋|芙蓉寒浦外|红落感秋怀
花卉 酒 壶觞 香	花卉四时春|壶觞千日酒|枕籍满身香|醉入无何有
意 胜 多事 缘	无事胜多事|非缘不是缘|深穷浅近意|寻往便知前
美酒 爱 著 看竹	水曹爱看竹|一日分几时|峨冠不须著|美酒聊自持
扰扰 天气 醉人 劝酒	寒郊好天气|劝酒莫辞频|扰扰钟陵市|无穷不醉人
饶 烟霞 爽气 西山	朝来望西山|颇自饶爽气|有一片烟霞|不类人间地
贾客 丹井 朝 天路	松接朝天路|钟闻贾客船|醮坛秋有月|丹井古无泉
隔浦 酒家 云影 春树	潮痕带晚沙|云影连春树|隔浦漾舟来|应寻酒家去
爱 谁 听歌 起	公方耽古律|我亦爱评诗|首首听歌起|谁占作者谁
笙歌 红桥 游人 明月	红桥二十四|明月照笙歌|若是迷楼在|游人应更多
水月 桃杏 近 梅花	水月一联诗|桃杏不敢近|卷锦归之梅|梅花无可逊
满山 丹砂 茱萸 平地	去湿茱萸酒|扶衰枸杞茶|满山屯玉气|平地出丹砂
天地 窥 书 草庐	瓮牖窥天地|何人顾草庐|家无千日酒|惟有万言书
真 增 吾师 老态	足弱老态增|颠仆人共骇|无趾真吾师|天刑乌可解
福 侯 猿臂 鸢肩	猿臂老不侯|鸢肩腾上速|娄罗千丈长|不博一寸福
君王 粉黛 明月 流萤	西苑接雷塘|花含粉黛香|流萤与明月|夜夜照君王
暮景 秋声 青山 白雨	树合秋声满|村荒暮景闲|虹收仍白雨|云动忽青山
繁英 拂岩 飞絮 照日	从风似飞絮|照日类繁英|拂岩如写镜|封林若耀琼
暮云 野火 人归 红日	野火烧山去|人归火不归|焰随红日去|烟逐暮云飞
弯弓 月落 杯 天开	弯弓射月落|挥剑决天开|何言四溟广|并合不成杯
翠色 溪桥 长亭 落日	翠色晴来近|长亭路去遥|无人折烟缕|落日拂溪桥
岧峣 日月 终古 东南	终古郁岧峣|东南此撑柱|当时若更高|恐碍日月路
恍惚 阴 辋川 扁舟	云来双岫阴|鸟下千林晚|恍惚月明时|扁舟辋川返
编 弦 起 朱丝	有时一画起|有时三绝编|朱丝弦侧畔|玉界尺傍边
云山 双清 风水 浓淡	浓淡云山色|抑扬风水声|体中有佳处|不是喜双清
孤舟 木鱼 灯 起	河口孤舟月|松间一塔灯|木鱼何处起|应礼少林僧
平湖 萧飒 静中 灭	快雨不相期|平湖忽萧飒|坐久日明檐|繁声静中灭
高 蜀锦 金钱 背	花豹金钱背|文鹇蜀锦毛|厨泉山笕细|江稻水车高
春晖 幽芳 宜男 北堂	丛萱树北堂|宜男吐幽芳|春晖盎如酒|庶俾百忧忘
悬崖 耐久 霜毫 秋气	悬崖秋气爽|兰叶露漙漙|谁把霜毫写|清芳耐久看
花开 春 造物 富贵	众卉从争媚|花开始是春|一年春富贵|造物太于人
白鹤 苍苔 没 华表	白鹤归华表|苍苔没古碑|桥前呜咽水|犹恨禄山儿
攀跻 寸 下 延眺	仞由寸乃积|高以下为基|攀跻一延眺|仰止良在斯
野 扉 闲步 沧浪	闲步沧浪野|栖禅竹作扉|浮生自有乐|尘虑总皆非
霞光 香炉 佳句 轻烟	日烘香炉峰|轻烟低入研|点笔佳句来|霞光飞片片
玉京 彩凤 金殿 光辉	日向阴虬永|春随彩凤归|玉京多燕喜|金殿满光辉
芙蓉 含毫 仙人 杰阁	杰阁起千寻|芙蓉不盈丈|为有谪仙人|含毫坐其上
栽 中原 西域 葡萄	葡萄产西域|汉使𣃁根回|自到中原后|先从上苑栽
山云 人家 云中 鸡犬	云中听鸡犬|不见有人家|野水侵官道|山云惹客衣
泪 气 寒风 女子	寒风一点泪|我自昧其繇|久厌丈夫气|何况女子愁
事 发白 冯唐 风花	荣贵如风花|安得长美好|冯唐不解事|却恨发白早
野寺 晚霞 春深 松花	野寺分晴树|山亭过晚霞|春深无客到|一路落松花
玉食 雕盘 冰 本	得道本无为|加餐亦应时|雕盘初荐冰|玉食更菹龟
门 著 识 妄想	鼻闻心所著|香臭不同根|穷究缘中识|非干妄想门
日日 山长 东风 推	盛族推山长|修龄号栎翁|屏花春不老|日日是东风
鱼 □ 知 □□	□□□□□|□□□□池|却恐鱼之乐|庄生未必知
微月 林花 虎溪 春风	别僧虎溪渡|扶藜踏微月|一笑春风来|林花偶然发
新晴 袖手 小窗 春泥	欲觅溪头路|春泥不可行|归来小窗下|袖手看新晴
奇绝 高寒 白昼 层台	白昼俯层台|千山万山月|若不犯高寒|安知此奇绝
夕阳 欲采 秋浦 远人	夕阳生晚愁|杜蘅秋浦阔|欲采寄远人|可望不可掇
襟袖 琼瑰 露华 风清	琼瑰露华英|绿幄相芘覆|几度得风清|真香到襟袖
晚照 迟迟 古木 极目	极目生晚照|步影何迟迟|归禽古木中|相对频相窥
山月 霜 明月 低头	床前明月光|疑是地上霜|举头望山月|低头思故乡
芳名 薤露 列宿 郎官	北邙歌薤露|列宿失郎官|箧里留中论|芳名并建安
军中 冰天 照 啸	冰天万里照|猎火仍残烧|惟看灞上归|不见军中啸
乞食 城 老僧 香积	不游舍卫城|不盛香积饭|老僧乞食馀|但言所作办
江流 江水 盘 照	江水一百里|江流七十盘|初三弦上月|相忆照湾环
杨柳 荇带 溪流 船头	杨柳拂溪流|风牵荇带柔|前山青可数|停楫坐船头
秋风 长条 拂 丹霄	八树拂丹霄|四时青不凋|秋风何处起|先袅最长条
红白 天工 外 白	道白非真白|言红不苦红|请君红白外|别眼看天工
熟 雨中 梅子 滋味	四月梅子生|莫打青丸碎|五月雨中熟|与欢共滋味
小市 灯火 微茫 岸柳	汀沙落席帆|岸柳萦单舸|小市远微茫|簇水初灯火
灯花 客散 独酌 主	琴终夜遂深|客散主独酌|空香疑有无|坐对灯花落
高树 白云 山椒 水村	水村枕山椒|白云作门幌|临溪獭伺鱼|鸡栖高树上
浅 羽翼 抟风 光华	□□光华浅|抟风羽翼徽|不能欺暗室|所以带明飞
香中 香 碧空 氤氲	春来春不见|春只在香中|春与香无别|氤氲满碧空
云林 攀 移舟 登高	日有登高兴|云林不可攀|移舟当缺岸|始见谷城山
濛濛 片片 宿 石罅	濛濛穿石罅|片片宿檐端|如示变灭相|时出复时还
秋风 玉壶 亭子 晓风	露气仍荷气|秋风更晓风|身兼水亭子|双堕玉壶中
